sex,ageband_at_study_entry,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
0,70-79,2020-04,13102,13102,13102,13102,13102,13102,13102,13072,13102,13102,13102,13072,13102,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-05,13477,13477,13477,13477,13476,13477,13476,13446,13477,13477,13477,13446,13477,0,0,0,< 5,0,< 5,0,0,0,0,0,0
0,70-79,2020-06,13008,13008,13008,13008,13008,13008,13008,12978,13008,13008,13008,12978,13008,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-07,13363,13363,13363,13363,13363,13363,13363,13332,13363,13363,13363,13332,13363,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-08,13330,13330,13330,13330,13330,13330,13330,13299,13330,13330,13330,13299,13330,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-09,12900,12900,12900,12900,12900,12900,12900,12870,12900,12900,12900,12870,12900,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-10,13308,13308,13308,13308,13308,13308,13308,13277,13308,13308,13308,13277,13308,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-11,12870,12870,12870,12870,12870,12870,12870,12840,12870,12870,12870,12840,12870,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-12,13276,13276,13276,13276,13276,13276,13276,13245,13276,13276,13276,13245,13276,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2021-01,13209,13209,13209,13209,13209,13209,13209,13178,13209,13209,13209,13178,13209,0,0,0,0,0,0,0,0,0,0,0,0
