sex,year,Ageband,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
0,2021,30-39,55526,55526,55526,55526,55526,55526,55526,55526,55526,55526,55526,55526,55526,0,0,0,0,0,0,0,0,0,0,0,0
1,2020,30-39,122997,122997,122997,122997,122997,122997,122997,122997,122997,122997,122997,122997,122997,0,0,0,0,0,0,0,0,0,0,0,0
1,2021,30-39,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,0,0,0,0,0,0,0,0,0,0,0,0
1,2020,25-29,6985,6985,6985,6985,6985,6985,6985,6985,6985,6985,6985,6985,6985,0,0,0,0,0,0,0,0,0,0,0,0
0,2021,40-49,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734,0,0,0,0,0,0,0,0,0,0,0,0
1,2021,40-49,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,0,0,0,0,0,0,0,0,0,0,0,0
0,2020,40-49,205375,205375,205375,205375,205375,205375,205375,205375,205375,205375,205375,205375,205375,0,0,0,0,0,0,0,0,0,0,0,0
0,2021,40-49,84172,84172,84172,84172,84172,84172,84172,84172,84172,84172,84172,84172,84172,0,0,0,0,0,0,0,0,0,0,0,0
1,2020,40-49,184499,184499,184499,184499,184499,184499,184499,184499,184499,184499,184499,184499,184499,0,0,0,0,0,0,0,0,0,0,0,0
1,2021,40-49,81197,81197,81197,81197,81197,81197,81197,81197,81197,81197,81197,81197,81197,0,0,0,0,0,0,0,0,0,0,0,0
1,2020,30-39,10640,10640,10640,10640,10640,10640,10640,10640,10640,10640,10640,10640,10640,0,0,0,0,0,0,0,0,0,0,0,0
0,2021,50-59,1471,1471,1471,1471,1471,1471,1471,1471,1471,1471,1471,1471,1471,0,0,0,0,0,0,0,0,0,0,0,0
0,2020,30-39,9643,9643,9643,9643,9643,9643,9643,9643,9643,9643,9643,9643,9643,0,0,0,0,0,0,0,0,0,0,0,0
1,2021,50-59,2218,2218,2218,2218,2218,2218,2218,2198,2218,2218,2218,2198,2218,0,0,0,0,0,0,< 5,0,0,0,< 5,0
0,2020,50-59,217974,217974,217974,217974,217974,217974,217974,217974,217974,217974,217974,217974,217974,0,0,0,0,0,0,0,0,0,0,0,0
0,2021,50-59,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,85270,0,0,0,0,0,0,0,0,0,0,0,0
0,2020,40-49,13601,13601,13601,13601,13601,13601,13601,13601,13601,13601,13601,13601,13601,0,0,0,0,0,0,0,0,0,0,0,0
0,2021,60-69,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,0,0,0,0,0,0,0,0,0,0,0,0
1,2020,50-59,215382,215382,215382,215382,215382,215382,215382,215016,215382,215382,215382,215016,215382,0,0,0,0,0,0,0,0,0,0,0,0
1,2021,50-59,87648,87648,87648,87648,87648,87648,87648,87491,87648,87648,87648,87491,87648,0,0,0,0,0,0,0,0,0,0,0,0
1,2021,60-69,2652,2652,2652,2652,2652,2652,2652,2652,2652,2652,2652,2652,2652,0,0,0,0,0,0,0,0,0,0,0,0
1,2020,40-49,9879,9879,9879,9879,9879,9879,9879,9879,9879,9879,9879,9879,9879,0,0,0,0,0,0,0,0,0,0,0,0
0,2020,60-69,170768,170768,170768,170768,170768,170768,170768,170768,170768,170768,170768,170768,170768,0,0,0,0,0,0,0,0,0,0,0,0
0,2021,60-69,66849,66849,66849,66849,66849,66849,66849,66849,66849,66849,66849,66849,66849,0,0,0,0,0,0,0,0,0,0,0,0
1,2020,60-69,163226,163226,163226,163226,163226,163226,163226,163226,163226,163226,163226,163226,163226,0,0,0,0,0,0,0,0,0,0,0,0
1,2021,60-69,62228,62228,62228,62228,62228,62228,62228,62228,62228,62228,62228,62228,62228,0,0,0,0,0,0,0,0,0,0,0,0
1,2020,50-59,8515,8515,8515,8515,8515,8515,8515,8515,8515,8515,8515,8515,8515,0,0,0,0,0,0,0,0,0,0,0,0
0,2020,50-59,14011,14011,14011,14011,14011,14011,14011,14011,14011,14011,14011,14011,14011,0,0,0,0,0,0,0,0,0,0,0,0
1,2021,70-79,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,0,0,0,0,0,0,0,0,0,0,0,0
0,2021,70-79,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,0,0,0,0,0,0,0,0,0,0,0,0
0,2020,70-79,152799,152799,152799,152799,152799,152799,152799,152471,152799,152799,152799,152471,152799,0,0,0,0,0,0,< 5,0,0,0,< 5,0
0,2021,70-79,50981,50981,50981,50981,50941,50981,50941,50855,50981,50981,50981,50855,50981,0,0,0,< 5,0,< 5,0,0,0,0,0,0
1,2020,70-79,122639,122639,122639,122639,122595,122639,122595,122273,122639,122639,122639,122273,122639,0,0,0,< 5,0,< 5,0,0,0,0,0,0
1,2021,70-79,39771,39771,39771,39771,39771,39771,39771,39644,39771,39771,39771,39644,39771,0,0,0,0,0,0,0,0,0,0,0,0
1,2020,60-69,6636,6636,6636,6636,6636,6636,6636,6636,6636,6636,6636,6636,6636,0,0,0,0,0,0,0,0,0,0,0,0
0,2021,80+,572,572,572,572,572,572,572,572,572,572,572,572,572,0,0,0,0,0,0,0,0,0,0,0,0
0,2020,60-69,8239,8239,8239,8239,8239,8239,8239,8239,8239,8239,8239,8239,8239,0,0,0,0,0,0,0,0,0,0,0,0
1,2021,80+,496,496,496,496,496,496,496,496,496,496,496,496,496,0,0,0,0,0,0,0,0,0,0,0,0
0,2020,80+,158590,158590,158590,158590,158224,158590,158224,158590,158590,158590,158590,158590,158590,0,0,0,0,0,0,0,0,0,0,0,0
0,2021,80+,42414,42414,42414,42414,42275,42414,42275,42414,42414,42414,42414,42414,42414,0,0,0,< 5,0,< 5,0,0,0,0,0,0
1,2020,80+,105253,105253,105253,105253,104923,105253,104923,104887,105253,105253,105253,104887,105253,0,0,0,< 5,0,< 5,0,0,0,0,0,0
1,2021,80+,26845,26845,26845,26845,26789,26845,26789,26755,26845,26845,26845,26755,26845,0,0,0,0,0,0,0,0,0,0,0,0
0,2020,70-79,8693,8693,8693,8693,8692,8693,8692,8693,8693,8693,8693,8693,8693,0,0,0,< 5,0,< 5,0,0,0,0,0,0
1,2020,70-79,7717,7717,7717,7717,7717,7717,7717,7717,7717,7717,7717,7717,7717,0,0,0,0,0,0,0,0,0,0,0,0
