sex,dose,type_vax,COVID19,month,Ageband,Persontime,year
M,0,,0,August,80+,3817,2019
M,0,,0,September,80+,3707,2019
M,0,,0,October,80+,3780,2019
M,0,,0,November,80+,3616,2019
M,0,,0,December,80+,3684,2019
M,0,,0,January,80+,3601,2020
M,0,,0,February,80+,3342,2020
M,0,,0,March,80+,3582,2020
M,0,,0,April,80+,3462,2020
M,0,,0,May,80+,3592,2020
M,0,,0,June,80+,3508,2020
M,0,,0,July,80+,3604,2020
M,0,,0,August,80+,3562,2020
M,0,,0,September,80+,3477,2020
M,0,,0,October,80+,3542,2020
M,0,,0,November,80+,3394,2020
M,0,,0,December,80+,3466,2020
M,0,,0,January,80+,3284,2021
M,1,pfizer,0,January,80+,140,2021
M,1,pfizer,0,February,80+,64,2021
M,2,pfizer,0,February,80+,104,2021
M,2,pfizer,0,March,80+,138,2021
M,2,pfizer,0,April,80+,791,2021
M,2,pfizer,0,May,80+,1989,2021
M,2,pfizer,0,June,80+,2094,2021
M,3,pfizer,0,June,80+,13,2021
M,0,,0,January,60-69,5783,2019
M,0,,0,January,18-24,3109,2019
M,0,,0,February,25-29,1952,2019
M,0,,0,March,25-29,2160,2019
M,0,,0,April,25-29,2034,2019
M,0,,0,May,25-29,1985,2019
M,0,,0,June,25-29,1951,2019
M,0,,0,July,25-29,2105,2019
M,0,,0,August,25-29,2171,2019
M,0,,0,September,25-29,2096,2019
M,0,,0,January,25-29,2288,2020
M,0,,0,February,25-29,2228,2020
M,0,,0,March,25-29,2426,2020
M,0,,0,April,25-29,2351,2020
M,0,,0,May,25-29,2430,2020
M,0,,0,June,25-29,2370,2020
M,0,,0,July,25-29,2480,2020
M,0,,0,August,25-29,2501,2020
M,0,,0,September,25-29,2366,2020
M,0,,0,October,25-29,2476,2020
M,0,,0,November,25-29,2406,2020
M,0,,0,December,25-29,2458,2020
M,0,,0,January,25-29,2344,2021
M,0,,0,February,25-29,2077,2021
M,0,,0,March,25-29,2234,2021
M,0,,0,April,25-29,2159,2021
M,0,,0,May,25-29,2147,2021
M,0,,0,June,25-29,1859,2021
F,0,,0,January,30-39,4788,2019
F,0,,0,February,30-39,4332,2019
F,0,,0,March,30-39,4786,2019
F,0,,0,April,30-39,4607,2019
F,0,,0,May,30-39,4747,2019
F,0,,0,June,30-39,4600,2019
F,0,,0,July,30-39,4721,2019
F,0,,0,August,30-39,4660,2019
F,0,,0,September,30-39,4517,2019
F,0,,0,October,30-39,4754,2019
F,0,,0,November,30-39,4674,2019
F,0,,0,December,30-39,4864,2019
F,0,,0,January,30-39,4955,2020
F,0,,0,February,30-39,4657,2020
F,0,,0,March,30-39,4916,2020
F,0,,0,April,30-39,4630,2020
F,0,,0,May,30-39,4715,2020
F,0,,1,May,30-39,7,2020
F,0,,1,June,30-39,30,2020
F,0,,1,July,30-39,31,2020
F,0,,1,August,30-39,31,2020
F,0,,1,September,30-39,30,2020
F,0,,1,October,30-39,31,2020
F,0,,1,November,30-39,33,2020
F,0,,1,December,30-39,70,2020
F,0,,1,January,30-39,134,2021
F,0,,1,February,30-39,173,2021
F,0,,1,March,30-39,245,2021
F,0,,1,April,30-39,264,2021
F,0,,1,May,30-39,310,2021
F,0,,1,June,30-39,273,2021
M,0,,0,June,50-59,6379,2019
M,0,,0,July,50-59,6701,2019
M,0,,0,August,50-59,6783,2019
M,0,,0,September,50-59,6679,2019
M,0,,0,October,50-59,6968,2019
M,0,,0,November,50-59,6770,2019
M,0,,0,December,50-59,6993,2019
M,0,,0,January,50-59,6990,2020
M,0,,0,February,50-59,6668,2020
M,0,,0,March,50-59,7193,2020
M,0,,0,April,50-59,7059,2020
M,0,,0,May,50-59,7329,2020
M,0,,0,June,50-59,7112,2020
M,0,,0,July,50-59,7312,2020
M,0,,0,August,50-59,7421,2020
M,0,,0,September,50-59,7282,2020
M,0,,0,October,50-59,7509,2020
M,0,,0,November,50-59,7129,2020
M,0,,0,December,50-59,7182,2020
M,0,,0,January,50-59,7068,2021
M,0,,0,February,50-59,6122,2021
M,0,,0,March,50-59,6323,2021
M,0,,0,April,50-59,5952,2021
M,0,,0,May,50-59,5703,2021
M,0,,0,June,50-59,3527,2021
M,1,pfizer,0,June,50-59,1679,2021
F,0,,0,January,80+,4776,2019
F,0,,0,February,80+,4270,2019
F,0,,0,March,80+,4679,2019
F,0,,0,April,80+,4472,2019
F,0,,0,May,80+,4561,2019
F,0,,0,June,80+,4372,2019
F,0,,0,July,80+,4594,2019
F,0,,0,August,80+,4686,2019
F,0,,0,September,80+,4560,2019
F,0,,0,October,80+,4747,2019
F,0,,0,November,80+,4565,2019
F,0,,0,December,80+,4684,2019
F,0,,0,January,80+,4680,2020
F,0,,0,February,80+,4386,2020
F,0,,0,March,80+,4705,2020
F,0,,0,April,80+,4542,2020
F,0,,0,May,80+,4687,2020
F,0,,0,June,80+,4506,2020
F,0,,0,July,80+,4664,2020
F,0,,0,August,80+,4680,2020
F,0,,0,September,80+,4631,2020
F,0,,0,October,80+,4878,2020
F,0,,0,November,80+,4710,2020
F,0,,0,December,80+,4882,2020
F,0,,0,January,80+,4789,2021
F,0,,0,February,80+,4203,2021
F,0,,0,March,80+,3736,2021
F,0,,0,April,80+,1299,2021
F,1,pfizer,0,April,80+,1839,2021
F,2,pfizer,0,May,80+,2850,2021
F,2,pfizer,0,June,80+,2907,2021
F,0,,0,March,5-11,2136,2021
F,0,,0,April,5-11,2094,2021
F,0,,0,May,5-11,2160,2021
F,0,,0,June,5-11,2046,2021
F,1,pfizer,0,March,80+,844,2021
F,2,pfizer,0,April,80+,1194,2021
M,0,,0,February,18-24,2717,2019
M,0,,0,March,18-24,2972,2019
M,0,,0,April,18-24,2914,2019
M,0,,0,May,18-24,3025,2019
M,0,,0,June,18-24,2873,2019
M,0,,0,July,18-24,2860,2019
M,0,,0,August,18-24,2801,2019
M,0,,0,September,18-24,2721,2019
F,0,,0,February,40-49,6494,2020
F,0,,0,March,40-49,6984,2020
F,0,,0,April,40-49,6846,2020
F,0,,0,May,40-49,7039,2020
F,0,,0,June,40-49,6701,2020
F,0,,0,July,40-49,6835,2020
F,0,,0,August,40-49,6783,2020
F,0,,0,September,40-49,6592,2020
F,0,,0,October,40-49,6879,2020
F,0,,0,November,40-49,6613,2020
F,0,,0,December,40-49,6756,2020
F,0,,0,January,40-49,6439,2021
F,0,,1,January,40-49,172,2021
F,0,,1,February,40-49,191,2021
F,0,,1,March,40-49,180,2021
F,0,,1,April,40-49,118,2021
F,0,,1,May,40-49,93,2021
F,0,,1,June,40-49,90,2021
M,0,,1,January,30-39,181,2021
M,0,,1,February,30-39,168,2021
M,0,,1,March,30-39,186,2021
M,0,,1,April,30-39,166,2021
M,0,,1,May,30-39,155,2021
M,0,,1,June,30-39,150,2021
F,0,,0,February,40-49,5459,2021
F,0,,0,March,40-49,5678,2021
F,0,,0,April,40-49,5349,2021
F,0,,0,May,40-49,5430,2021
F,0,,0,June,40-49,4275,2021
F,0,,1,June,50-59,86,2021
F,0,,0,January,12-17,2004,2019
F,0,,0,February,12-17,1862,2019
F,0,,0,March,12-17,2182,2019
F,0,,0,April,12-17,2118,2019
F,0,,0,May,12-17,2244,2019
F,0,,0,June,12-17,2197,2019
F,0,,0,July,12-17,2238,2019
F,0,,0,August,12-17,2186,2019
F,0,,0,September,12-17,2138,2019
F,0,,0,October,12-17,2199,2019
F,0,,0,November,12-17,2226,2019
F,0,,0,December,12-17,2329,2019
F,0,,0,January,12-17,2372,2020
F,0,,0,February,12-17,2223,2020
F,0,,0,March,12-17,2367,2020
F,0,,0,April,12-17,2216,2020
F,0,,0,May,12-17,2192,2020
F,0,,0,June,12-17,2082,2020
F,0,,0,July,12-17,2108,2020
