sex,month,year,Ageband,Persontime,Persontime_covid_severity_1_plus,Persontime_covid_severity_2_plus,Persontime_covid_severity_3_plus,Persontime_covid_severity_4_plus,covid_severity_1_plus_b,covid_severity_2_plus_b,covid_severity_3_plus_b,covid_severity_4_plus_b,IR_covid_severity_1_plus,lb_covid_severity_1_plus,ub_covid_severity_1_plus,IR_covid_severity_2_plus,lb_covid_severity_2_plus,ub_covid_severity_2_plus,IR_covid_severity_3_plus,lb_covid_severity_3_plus,ub_covid_severity_3_plus,IR_covid_severity_4_plus,lb_covid_severity_4_plus,ub_covid_severity_4_plus
0,12,2020,5-11,1830,1829,1830,1830,1830,1,0,0,0,19969.93,505.59,111265.32,0,0,73626.41,0,0,73626.41,0,0,73626.41
0,1,2021,0-4,747,747,747,747,747,0,0,0,0,0,0,180369.91,0,0,180369.91,0,0,180369.91,0,0,180369.91
0,1,2021,12-17,1515,1514,1515,1515,1515,1,0,0,0,24124.83,610.79,134414.98,0,0,88934.87,0,0,88934.87,0,0,88934.87
0,1,2021,5-11,1808,1808,1808,1808,1808,0,0,0,0,0,0,74522.3,0,0,74522.3,0,0,74522.3,0,0,74522.3
0,2,2021,0-4,672,672,672,672,672,0,0,0,0,0,0,200500.48,0,0,200500.48,0,0,200500.48,0,0,200500.48
0,2,2021,12-17,1367,1367,1367,1367,1367,0,0,0,0,0,0,98563.51,0,0,98563.51,0,0,98563.51,0,0,98563.51
0,2,2021,5-11,1566,1566,1566,1566,1566,0,0,0,0,0,0,86038.52,0,0,86038.52,0,0,86038.52,0,0,86038.52
0,3,2021,0-4,744,744,744,744,744,0,0,0,0,0,0,181097.21,0,0,181097.21,0,0,181097.21,0,0,181097.21
0,3,2021,12-17,1528,1528,1528,1528,1528,0,0,0,0,0,0,88178.22,0,0,88178.22,0,0,88178.22,0,0,88178.22
0,3,2021,5-11,1663,1663,1663,1663,1663,0,0,0,0,0,0,81020.04,0,0,81020.04,0,0,81020.04,0,0,81020.04
0,4,2021,0-4,686,686,686,686,686,0,0,0,0,0,0,196408.63,0,0,196408.63,0,0,196408.63,0,0,196408.63
0,4,2021,12-17,1443,1443,1443,1443,1443,0,0,0,0,0,0,93372.36,0,0,93372.36,0,0,93372.36,0,0,93372.36
0,4,2021,5-11,1614,1614,1614,1614,1614,0,0,0,0,0,0,83479.75,0,0,83479.75,0,0,83479.75,0,0,83479.75
0,5,2021,0-4,651,651,651,651,651,0,0,0,0,0,0,206968.24,0,0,206968.24,0,0,206968.24,0,0,206968.24
0,5,2021,12-17,1418,1418,1418,1418,1418,0,0,0,0,0,0,95018.56,0,0,95018.56,0,0,95018.56,0,0,95018.56
0,5,2021,5-11,1673,1673,1673,1673,1673,0,0,0,0,0,0,80535.76,0,0,80535.76,0,0,80535.76,0,0,80535.76
0,6,2021,0-4,600,600,600,600,600,0,0,0,0,0,0,224560.54,0,0,224560.54,0,0,224560.54,0,0,224560.54
0,6,2021,12-17,1308,1308,1308,1308,1308,0,0,0,0,0,0,103009.42,0,0,103009.42,0,0,103009.42,0,0,103009.42
0,6,2021,5-11,1590,1590,1590,1590,1590,0,0,0,0,0,0,84739.83,0,0,84739.83,0,0,84739.83,0,0,84739.83
1,1,2020,0-4,1276,1276,1276,1276,1276,0,0,0,0,0,0,105592.73,0,0,105592.73,0,0,105592.73,0,0,105592.73
1,1,2020,12-17,2528,2528,2528,2528,2528,0,0,0,0,0,0,53297.6,0,0,53297.6,0,0,53297.6,0,0,53297.6
1,1,2020,5-11,2679,2679,2679,2679,2679,0,0,0,0,0,0,50293.51,0,0,50293.51,0,0,50293.51,0,0,50293.51
1,2,2020,0-4,1188,1188,1188,1188,1188,0,0,0,0,0,0,113414.41,0,0,113414.41,0,0,113414.41,0,0,113414.41
1,2,2020,12-17,2378,2378,2378,2378,2378,0,0,0,0,0,0,56659.51,0,0,56659.51,0,0,56659.51,0,0,56659.51
1,2,2020,5-11,2454,2454,2454,2454,2454,0,0,0,0,0,0,54904.78,0,0,54904.78,0,0,54904.78,0,0,54904.78
1,3,2020,0-4,1240,1240,1240,1240,1240,0,0,0,0,0,0,108658.32,0,0,108658.32,0,0,108658.32,0,0,108658.32
1,3,2020,12-17,2495,2495,2495,2495,2495,0,0,0,0,0,0,54002.53,0,0,54002.53,0,0,54002.53,0,0,54002.53
1,3,2020,5-11,2583,2583,2583,2583,2583,0,0,0,0,0,0,52162.73,0,0,52162.73,0,0,52162.73,0,0,52162.73
1,4,2020,0-4,1180,1180,1180,1180,1180,0,0,0,0,0,0,114183.32,0,0,114183.32,0,0,114183.32,0,0,114183.32
1,4,2020,12-17,2361,2361,2361,2361,2361,0,0,0,0,0,0,57067.48,0,0,57067.48,0,0,57067.48,0,0,57067.48
1,4,2020,5-11,2469,2469,2469,2469,2469,0,0,0,0,0,0,54571.21,0,0,54571.21,0,0,54571.21,0,0,54571.21
1,5,2020,0-4,1176,1176,1176,1176,1176,0,0,0,0,0,0,114571.7,0,0,114571.7,0,0,114571.7,0,0,114571.7
1,5,2020,12-17,2331,2331,2331,2331,2331,0,0,0,0,0,0,57801.94,0,0,57801.94,0,0,57801.94,0,0,57801.94
1,5,2020,5-11,2573,2573,2573,2573,2573,0,0,0,0,0,0,52365.46,0,0,52365.46,0,0,52365.46,0,0,52365.46
1,6,2020,0-4,1030,1030,1030,1030,1030,0,0,0,0,0,0,130811.96,0,0,130811.96,0,0,130811.96,0,0,130811.96
1,6,2020,12-17,2200,2200,2200,2200,2200,0,0,0,0,0,0,61243.78,0,0,61243.78,0,0,61243.78,0,0,61243.78
1,6,2020,5-11,2550,2550,2550,2550,2550,0,0,0,0,0,0,52837.77,0,0,52837.77,0,0,52837.77,0,0,52837.77
1,7,2020,0-4,1006,1006,1006,1006,1006,0,0,0,0,0,0,133932.73,0,0,133932.73,0,0,133932.73,0,0,133932.73
1,7,2020,12-17,2251,2251,2251,2251,2251,0,0,0,0,0,0,59856.21,0,0,59856.21,0,0,59856.21,0,0,59856.21
1,7,2020,5-11,2631,2631,2631,2631,2631,0,0,0,0,0,0,51211.07,0,0,51211.07,0,0,51211.07,0,0,51211.07
1,8,2020,0-4,985,985,985,985,985,0,0,0,0,0,0,136788.14,0,0,136788.14,0,0,136788.14,0,0,136788.14
1,8,2020,12-17,2225,2225,2225,2225,2225,0,0,0,0,0,0,60555.65,0,0,60555.65,0,0,60555.65,0,0,60555.65
1,8,2020,5-11,2642,2642,2642,2642,2642,0,0,0,0,0,0,50997.85,0,0,50997.85,0,0,50997.85,0,0,50997.85
1,9,2020,0-4,900,900,900,900,900,0,0,0,0,0,0,149707.02,0,0,149707.02,0,0,149707.02,0,0,149707.02
1,9,2020,12-17,2119,2119,2119,2119,2119,0,0,0,0,0,0,63584.86,0,0,63584.86,0,0,63584.86,0,0,63584.86
1,9,2020,5-11,2547,2547,2547,2547,2547,0,0,0,0,0,0,52900.01,0,0,52900.01,0,0,52900.01,0,0,52900.01
1,10,2020,0-4,930,930,930,930,930,0,0,0,0,0,0,144877.77,0,0,144877.77,0,0,144877.77,0,0,144877.77
1,10,2020,12-17,2125,2125,2125,2125,2125,0,0,0,0,0,0,63405.33,0,0,63405.33,0,0,63405.33,0,0,63405.33
1,10,2020,5-11,2580,2580,2580,2580,2580,0,0,0,0,0,0,52223.38,0,0,52223.38,0,0,52223.38,0,0,52223.38
1,11,2020,0-4,896,896,896,896,896,0,0,0,0,0,0,150375.36,0,0,150375.36,0,0,150375.36,0,0,150375.36
1,11,2020,12-17,2048,2048,2048,2048,2048,0,0,0,0,0,0,65789.22,0,0,65789.22,0,0,65789.22,0,0,65789.22
1,11,2020,5-11,2396,2396,2396,2396,2396,0,0,0,0,0,0,56233.86,0,0,56233.86,0,0,56233.86,0,0,56233.86
1,12,2020,0-4,833,833,833,833,833,0,0,0,0,0,0,161748.29,0,0,161748.29,0,0,161748.29,0,0,161748.29
1,12,2020,12-17,2072,2070,2071,2071,2072,2,1,1,0,35289.86,4273.77,127479.09,17636.41,446.52,98263.77,17636.41,446.52,98263.77,0,0,65027.18
1,12,2020,5-11,2499,2499,2499,2499,2499,0,0,0,0,0,0,53916.1,0,0,53916.1,0,0,53916.1,0,0,53916.1
1,1,2021,0-4,780,780,780,780,780,0,0,0,0,0,0,172738.87,0,0,172738.87,0,0,172738.87,0,0,172738.87
1,1,2021,12-17,2028,2028,2028,2028,2028,0,0,0,0,0,0,66438.03,0,0,66438.03,0,0,66438.03,0,0,66438.03
1,1,2021,5-11,2437,2437,2437,2437,2437,0,0,0,0,0,0,55287.78,0,0,55287.78,0,0,55287.78,0,0,55287.78
1,2,2021,0-4,672,672,672,672,672,0,0,0,0,0,0,200500.48,0,0,200500.48,0,0,200500.48,0,0,200500.48
1,2,2021,12-17,1830,1830,1830,1830,1830,0,0,0,0,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41
1,2,2021,5-11,2156,2156,2156,2156,2156,0,0,0,0,0,0,62493.66,0,0,62493.66,0,0,62493.66,0,0,62493.66
