sex,month,year,Ageband,Persontime,Persontime_covid_severity_1_plus,Persontime_covid_severity_2_plus,Persontime_covid_severity_3_plus,Persontime_covid_severity_4_plus,covid_severity_1_plus_b,covid_severity_2_plus_b,covid_severity_3_plus_b,covid_severity_4_plus_b,IR_covid_severity_1_plus,lb_covid_severity_1_plus,ub_covid_severity_1_plus,IR_covid_severity_2_plus,lb_covid_severity_2_plus,ub_covid_severity_2_plus,IR_covid_severity_3_plus,lb_covid_severity_3_plus,ub_covid_severity_3_plus,IR_covid_severity_4_plus,lb_covid_severity_4_plus,ub_covid_severity_4_plus
0,all_months,2021,12-17,353,293,353,353,353,1,0,0,0,124658.7,3156.09,694553.84,0,0,381689.3,0,0,381689.3,0,0,381689.3
0,all_months,2021,5-11,362,305,362,362,362,0,0,0,0,0,0,441758.43,0,0,372199.78,0,0,372199.78,0,0,372199.78
1,all_months,2020,12-17,35,0,31,31,35,2,1,1,0,0,0,0,1178225.81,29830.09,6564654.03,1178225.81,29830.09,6564654.03,0,0,3849609.2
1,all_months,2021,12-17,362,277,306,306,362,0,0,0,0,0,0,486412.72,0,0,440314.78,0,0,440314.78,0,0,372199.78
both_sexes,all_months,2020,12-17,97,2,93,93,97,3,1,1,0,54787500,11298499.64,160112324.44,392741.94,9943.36,2188218.01,392741.94,9943.36,2188218.01,0,0,1389034.25
both_sexes,all_months,2020,5-11,63,0,63,63,63,2,0,0,0,0,0,0,0,0,2138671.78,0,0,2138671.78,0,0,2138671.78
both_sexes,all_months,2021,12-17,715,570,659,659,715,1,0,0,0,64078.95,1622.34,357025.04,0,0,204455.72,0,0,204455.72,0,0,188442.41
both_sexes,all_months,2021,5-11,362,305,362,362,362,0,0,0,0,0,0,441758.43,0,0,372199.78,0,0,372199.78,0,0,372199.78
0,all_months,all_years,12-17,415,295,415,415,415,2,0,0,0,247627.12,29988.79,894514.3,0,0,324665.84,0,0,324665.84,0,0,324665.84
0,all_months,all_years,5-11,425,305,425,425,425,2,0,0,0,239508.2,29005.55,865185.96,0,0,317026.64,0,0,317026.64,0,0,317026.64
1,all_months,all_years,12-17,397,277,337,337,397,2,1,1,0,263718.41,31937.52,952641.58,108382.79,2744.01,603870.25,108382.79,2744.01,603870.25,0,0,339386.2
both_sexes,all_months,all_years,12-17,812,572,752,752,812,4,1,1,0,255419.58,69593.24,653975.57,48570.48,1229.7,270617.39,48570.48,1229.7,270617.39,0,0,165931.43
both_sexes,all_months,all_years,5-11,425,305,425,425,425,2,0,0,0,239508.2,29005.55,865185.96,0,0,317026.64,0,0,317026.64,0,0,317026.64
0,10,2020,all_birth_cohorts,1,0,1,1,1,1,0,0,0,0,0,0,0,0,134736322.06,0,0,134736322.06,0,0,134736322.06
