sex,month,Ageband,Persontime,Persontime_covid_severity_1_plus,Persontime_covid_severity_2_plus,Persontime_covid_severity_3_plus,Persontime_covid_severity_4_plus,covid_severity_1_plus_b,covid_severity_2_plus_b,covid_severity_3_plus_b,covid_severity_4_plus_b
1,2020-09,0-4,3153,3153,3153,3153,3153,0,0,0,0
1,2020-09,12-17,6998,6998,6998,6998,6998,0,0,0,0
1,2020-09,5-11,8190,8190,8190,8190,8190,0,0,0,0
1,2020-10,0-4,3102,3102,3102,3102,3102,0,0,0,0
1,2020-10,12-17,7401,7401,7401,7401,7401,0,0,0,0
1,2020-10,5-11,8353,8353,8353,8353,8353,0,0,0,0
1,2020-11,0-4,2893,2893,2893,2893,2893,0,0,0,0
1,2020-11,12-17,7245,7245,7245,7245,7245,0,0,0,0
1,2020-11,5-11,7898,7897,7898,7898,7898,1,0,0,0
1,2020-12,0-4,2767,2766,2767,2767,2767,1,0,0,0
1,2020-12,12-17,7254,7250,7253,7253,7254,4,1,1,0
1,2020-12,5-11,8267,8267,8267,8267,8267,0,0,0,0
1,2021-01,0-4,2657,2657,2657,2657,2657,0,0,0,0
1,2021-01,12-17,7211,7208,7211,7211,7211,3,0,0,0
1,2021-01,5-11,8204,8204,8204,8204,8204,0,0,0,0
1,2021-02,0-4,2328,2328,2328,2328,2328,0,0,0,0
1,2021-02,12-17,6479,6476,6479,6479,6479,3,0,0,0
1,2021-02,5-11,7233,7232,7233,7233,7233,1,0,0,0
1,2021-03,0-4,2566,2566,2566,2566,2566,0,0,0,0
1,2021-03,12-17,7041,7040,7041,7041,7041,1,0,0,0
1,2021-03,5-11,7890,7890,7890,7890,7890,0,0,0,0
1,2021-04,0-4,2398,2398,2398,2398,2398,0,0,0,0
1,2021-04,12-17,6819,6819,6819,6819,6819,0,0,0,0
1,2021-04,5-11,7575,7575,7575,7575,7575,0,0,0,0
1,2021-05,0-4,2449,2449,2449,2449,2449,0,0,0,0
1,2021-05,12-17,6984,6984,6984,6984,6984,0,0,0,0
1,2021-05,5-11,7795,7795,7795,7795,7795,0,0,0,0
1,2021-06,0-4,2370,2370,2370,2370,2370,0,0,0,0
1,2021-06,12-17,6538,6538,6538,6538,6538,0,0,0,0
1,2021-06,5-11,7460,7460,7460,7460,7460,0,0,0,0
