sex,dose,type_vax,COVID19,month,Ageband,Persontime,year
F,0,,0,May,0-4,3774,2020
F,0,,0,June,0-4,3630,2020
F,0,,0,July,0-4,3729,2020
F,0,,0,August,0-4,3674,2020
F,0,,0,September,0-4,3388,2020
F,0,,0,October,0-4,3485,2020
F,0,,0,November,0-4,3425,2020
F,0,,0,June,5-11,6132,2021
F,0,,0,January,25-29,5832,2019
F,0,,0,February,25-29,5313,2019
F,0,,0,March,25-29,5945,2019
F,0,,0,April,25-29,5884,2019
F,0,,0,May,25-29,6161,2019
F,0,,0,June,25-29,6138,2019
F,0,,0,July,25-29,6313,2019
F,0,,0,August,25-29,6249,2019
F,0,,0,September,25-29,6010,2019
F,0,,0,October,25-29,6145,2019
F,0,,0,November,25-29,5720,2019
F,0,,0,December,25-29,5855,2019
F,0,,0,January,25-29,5768,2020
F,0,,0,February,25-29,5370,2020
F,0,,0,March,25-29,5730,2020
F,0,,0,April,25-29,5466,2020
F,0,,0,May,25-29,5640,2020
F,0,,0,June,25-29,5377,2020
F,0,,0,July,25-29,5549,2020
F,0,,0,August,25-29,5530,2020
F,0,,0,September,25-29,5263,2020
F,0,,0,September,30-39,12016,2020
F,0,,0,October,30-39,12376,2020
F,0,,0,November,30-39,11917,2020
F,0,,0,December,30-39,12185,2020
F,0,,0,January,30-39,11938,2021
F,0,,0,February,30-39,10496,2021
F,0,,1,February,30-39,247,2021
F,0,,1,March,30-39,409,2021
F,0,,1,April,30-39,444,2021
F,0,,1,May,30-39,489,2021
F,0,,1,June,30-39,423,2021
F,0,,0,January,40-49,19794,2019
F,0,,0,January,50-59,18881,2021
F,1,pfizer,1,May,50-59,164,2021
F,2,pfizer,1,June,50-59,121,2021
F,0,,0,January,30-39,12763,2019
F,0,,0,February,30-39,11430,2019
F,0,,0,March,30-39,12513,2019
F,0,,0,February,40-49,17988,2019
F,0,,0,March,40-49,20013,2019
F,0,,0,April,40-49,19346,2019
F,0,,0,May,40-49,20091,2019
F,0,,0,June,40-49,19310,2019
F,0,,0,July,40-49,19768,2019
F,0,,0,August,40-49,19614,2019
F,0,,0,September,40-49,18913,2019
F,0,,0,October,40-49,19503,2019
F,0,,0,November,40-49,18925,2019
F,0,,0,December,40-49,19502,2019
F,0,,0,January,40-49,19486,2020
F,0,,0,February,50-59,16097,2021
F,0,,0,March,50-59,16350,2021
F,0,,0,April,50-59,15305,2021
F,0,,0,May,50-59,14190,2021
F,1,pfizer,0,May,50-59,1660,2021
F,1,pfizer,0,June,50-59,5164,2021
M,0,,0,January,70-79,11183,2019
M,0,,0,February,70-79,10144,2019
M,0,,0,March,70-79,11229,2019
M,0,,0,April,70-79,10714,2019
M,0,,0,May,70-79,10988,2019
M,0,,0,June,70-79,10587,2019
M,0,,0,July,70-79,10930,2019
M,0,,0,August,70-79,10937,2019
M,0,,0,September,70-79,10562,2019
M,0,,0,October,70-79,11061,2019
M,0,,0,November,70-79,10827,2019
M,0,,0,December,70-79,11265,2019
M,0,,0,January,70-79,11299,2020
M,0,,0,February,70-79,10530,2020
M,0,,0,March,70-79,11239,2020
M,0,,0,April,70-79,11020,2020
M,0,,0,May,70-79,11296,2020
M,0,,0,June,70-79,10870,2020
M,0,,0,July,70-79,11203,2020
M,0,,0,August,70-79,11205,2020
M,0,,0,September,70-79,10716,2020
M,0,,0,October,70-79,11053,2020
M,0,,0,November,70-79,10713,2020
M,0,,0,December,70-79,10890,2020
M,0,,0,January,70-79,10773,2021
M,0,,0,February,70-79,9637,2021
M,0,,0,March,70-79,10310,2021
M,0,,0,April,70-79,6399,2021
M,1,pfizer,0,April,70-79,365,2021
M,1,pfizer,0,May,70-79,1630,2021
M,2,pfizer,0,May,70-79,963,2021
M,2,pfizer,0,June,70-79,2082,2021
F,2,pfizer,0,June,50-59,1334,2021
M,0,,0,January,25-29,5931,2019
M,0,,0,February,25-29,5381,2019
M,0,,0,March,25-29,5959,2019
M,0,,0,April,25-29,5737,2019
M,0,,0,May,25-29,5898,2019
M,0,,0,June,25-29,5692,2019
M,0,,0,July,25-29,5850,2019
M,0,,0,August,25-29,5842,2019
M,0,,0,September,25-29,5643,2019
M,0,,0,October,25-29,5908,2019
M,0,,0,November,25-29,5778,2019
M,0,,0,December,25-29,5963,2019
M,0,,0,January,25-29,5972,2020
M,0,,0,February,25-29,5477,2020
M,0,,0,March,25-29,5816,2020
M,0,,0,April,25-29,5539,2020
M,0,,0,May,25-29,5723,2020
M,0,,0,June,25-29,5510,2020
M,0,,0,July,25-29,5684,2020
M,0,,0,August,25-29,5703,2020
M,0,,0,September,25-29,5513,2020
M,0,,0,October,25-29,5593,2020
M,0,,0,November,25-29,5416,2020
M,0,,0,December,25-29,5519,2020
M,0,,0,January,25-29,5367,2021
M,0,,0,February,25-29,4658,2021
M,0,,0,March,25-29,4957,2021
M,0,,0,April,25-29,4692,2021
M,1,astrazeneca,0,April,25-29,109,2021
M,1,astrazeneca,0,May,25-29,89,2021
M,1,astrazeneca,0,June,25-29,52,2021
F,0,,0,January,80+,13295,2019
F,0,,0,February,80+,12052,2019
F,0,,0,March,80+,13412,2019
F,0,,0,April,80+,12975,2019
F,0,,0,May,80+,13368,2019
F,0,,0,June,80+,12969,2019
F,0,,0,July,80+,13562,2019
F,0,,0,August,80+,13647,2019
F,0,,0,April,60-69,13123,2021
F,0,,0,May,60-69,10607,2021
F,0,,0,June,60-69,4381,2021
F,1,pfizer,0,June,60-69,4985,2021
F,0,,0,April,30-39,11987,2019
F,0,,0,May,30-39,12262,2019
F,0,,0,June,30-39,11884,2019
F,0,,0,July,30-39,12382,2019
F,0,,0,August,30-39,12383,2019
F,0,,0,September,30-39,11985,2019
F,0,,0,October,30-39,12537,2019
F,0,,0,November,30-39,12179,2019
F,0,,0,February,40-49,18094,2020
F,0,,0,March,40-49,19338,2020
F,0,,0,April,40-49,18624,2020
F,0,,0,May,40-49,19128,2020
F,0,,0,June,40-49,18391,2020
F,0,,0,July,40-49,18934,2020
F,0,,0,August,40-49,18818,2020
F,0,,0,September,40-49,18210,2020
F,0,,0,October,40-49,18728,2020
F,0,,0,November,40-49,17940,2020
F,0,,0,December,40-49,18299,2020
F,0,,0,January,40-49,17888,2021
F,0,,0,February,40-49,15429,2021
F,0,,0,March,40-49,15786,2021
F,0,,0,April,40-49,14784,2021
F,0,,0,May,40-49,14717,2021
F,0,,0,June,40-49,11467,2021
F,1,astrazeneca,0,April,70-79,3690,2021
F,2,astrazeneca,0,June,70-79,688,2021
F,0,,0,January,60-69,15275,2019
F,0,,0,February,60-69,13791,2019
F,0,,0,March,60-69,15287,2019
F,0,,0,April,60-69,14778,2019
F,0,,0,May,60-69,15369,2019
F,0,,0,June,60-69,14868,2019
F,0,,0,July,60-69,15394,2019
F,0,,0,August,60-69,15345,2019
F,0,,0,September,60-69,14667,2019
F,0,,0,October,60-69,15077,2019
F,0,,0,November,60-69,14659,2019
F,0,,0,December,60-69,15201,2019
F,0,,0,January,60-69,15239,2020
F,0,,0,February,60-69,14268,2020
F,0,,0,March,60-69,15305,2020
F,0,,0,April,60-69,14838,2020
F,0,,0,May,60-69,15340,2020
F,0,,0,June,60-69,14801,2020
F,0,,0,July,60-69,15238,2020
F,0,,0,August,60-69,15509,2020
F,0,,0,September,60-69,15036,2020
F,0,,0,October,60-69,15580,2020
F,0,,0,November,60-69,15146,2020
F,0,,0,December,60-69,15689,2020
F,0,,0,January,60-69,15391,2021
F,0,,0,February,60-69,13595,2021
F,0,,0,March,60-69,14379,2021
F,1,pfizer,0,January,50-59,404,2021
F,2,pfizer,0,January,50-59,32,2021
F,2,pfizer,0,February,50-59,339,2021
