sex,month,year,Ageband,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
1,February,2020,18-24,7337,7337,7337,7337,7337,7337,7337,7337,7337,7337,7337,7337,7337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18363.95,0,0,18363.95,0,0,18363.95,0,0,18363.95,0,0,18363.95,0,0,18363.95,0,0,18363.95,0,0,18363.95,0,0,18363.95,0,0,18363.95,0,0,18363.95,0,0,18363.95
1,March,2020,18-24,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,7829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17209.9,0,0,17209.9,0,0,17209.9,0,0,17209.9,0,0,17209.9,0,0,17209.9,0,0,17209.9,0,0,17209.9,0,0,17209.9,0,0,17209.9,0,0,17209.9,0,0,17209.9
1,April,2020,18-24,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17822.26,0,0,17822.26,0,0,17822.26,0,0,17822.26,0,0,17822.26,0,0,17822.26,0,0,17822.26,0,0,17822.26,0,0,17822.26,0,0,17822.26,0,0,17822.26,0,0,17822.26
1,May,2020,18-24,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17293.84,0,0,17293.84,0,0,17293.84,0,0,17293.84,0,0,17293.84,0,0,17293.84,0,0,17293.84,0,0,17293.84,0,0,17293.84,0,0,17293.84,0,0,17293.84,0,0,17293.84
1,June,2020,18-24,7468,7468,7468,7468,7468,7468,7468,7468,7468,7468,7468,7468,7468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18041.82,0,0,18041.82,0,0,18041.82,0,0,18041.82,0,0,18041.82,0,0,18041.82,0,0,18041.82,0,0,18041.82,0,0,18041.82,0,0,18041.82,0,0,18041.82,0,0,18041.82
1,July,2020,18-24,7674,7674,7674,7674,7674,7674,7674,7674,7674,7674,7674,7674,7674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17557.51,0,0,17557.51,0,0,17557.51,0,0,17557.51,0,0,17557.51,0,0,17557.51,0,0,17557.51,0,0,17557.51,0,0,17557.51,0,0,17557.51,0,0,17557.51,0,0,17557.51
1,August,2020,18-24,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,7647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17619.5,0,0,17619.5,0,0,17619.5,0,0,17619.5,0,0,17619.5,0,0,17619.5,0,0,17619.5,0,0,17619.5,0,0,17619.5,0,0,17619.5,0,0,17619.5,0,0,17619.5
1,September,2020,18-24,7380,7380,7380,7380,7380,7380,7380,7380,7380,7380,7380,7380,7380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18256.95,0,0,18256.95,0,0,18256.95,0,0,18256.95,0,0,18256.95,0,0,18256.95,0,0,18256.95,0,0,18256.95,0,0,18256.95,0,0,18256.95,0,0,18256.95,0,0,18256.95
1,October,2020,18-24,7608,7608,7608,7608,7608,7608,7608,7608,7608,7608,7608,7608,7608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17709.82,0,0,17709.82,0,0,17709.82,0,0,17709.82,0,0,17709.82,0,0,17709.82,0,0,17709.82,0,0,17709.82,0,0,17709.82,0,0,17709.82,0,0,17709.82,0,0,17709.82
1,November,2020,18-24,7302,7302,7302,7302,7302,7302,7302,7302,7302,7302,7302,7302,7302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18451.98,0,0,18451.98,0,0,18451.98,0,0,18451.98,0,0,18451.98,0,0,18451.98,0,0,18451.98,0,0,18451.98,0,0,18451.98,0,0,18451.98,0,0,18451.98,0,0,18451.98
