sex,ageband_at_study_entry,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
0,40-49,2021,91191,91191,91191,91191,91191,91191,91191,91191,91191,91191,91191,91191,91191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477.52,0,0,1477.52,0,0,1477.52,0,0,1477.52,0,0,1477.52,0,0,1477.52,0,0,1477.52,0,0,1477.52,0,0,1477.52,0,0,1477.52,0,0,1477.52,0,0,1477.52
1,70-79,2020,132231,132231,132231,132231,132180,132231,132180,131865,132231,132231,132231,131865,132231,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1018.95,0,0,1018.95,0,0,1018.95,552.66,66.93,1996.38,0,0,1018.95,552.66,66.93,1996.38,0,0,1021.77,0,0,1018.95,0,0,1018.95,0,0,1018.95,0,0,1021.77,0,0,1018.95
1,70-79,2021,39824,39824,39824,39824,39824,39824,39824,39697,39824,39824,39824,39697,39824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3383.29,0,0,3383.29,0,0,3383.29,0,0,3383.29,0,0,3383.29,0,0,3383.29,0,0,3394.12,0,0,3383.29,0,0,3383.29,0,0,3383.29,0,0,3394.12,0,0,3383.29
1,25-29,2020,69821,69821,69821,69821,69821,69821,69821,69821,69821,69821,69821,69821,69821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1929.74,0,0,1929.74,0,0,1929.74,0,0,1929.74,0,0,1929.74,0,0,1929.74,0,0,1929.74,0,0,1929.74,0,0,1929.74,0,0,1929.74,0,0,1929.74,0,0,1929.74
1,25-29,2021,28535,28535,28535,28535,28535,28535,28535,28535,28535,28535,28535,28535,28535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4721.79,0,0,4721.79,0,0,4721.79,0,0,4721.79,0,0,4721.79,0,0,4721.79,0,0,4721.79,0,0,4721.79,0,0,4721.79,0,0,4721.79,0,0,4721.79,0,0,4721.79
0,60-69,2020,180083,180083,180083,180083,180083,180083,180083,180083,180083,180083,180083,180083,180083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748.19,0,0,748.19,0,0,748.19,0,0,748.19,0,0,748.19,0,0,748.19,0,0,748.19,0,0,748.19,0,0,748.19,0,0,748.19,0,0,748.19,0,0,748.19
0,60-69,2021,65546,65546,65546,65546,65546,65546,65546,65546,65546,65546,65546,65546,65546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2055.6,0,0,2055.6,0,0,2055.6,0,0,2055.6,0,0,2055.6,0,0,2055.6,0,0,2055.6,0,0,2055.6,0,0,2055.6,0,0,2055.6,0,0,2055.6,0,0,2055.6
1,60-69,2020,169343,169343,169343,169343,169343,169343,169343,169343,169343,169343,169343,169343,169343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795.64,0,0,795.64,0,0,795.64,0,0,795.64,0,0,795.64,0,0,795.64,0,0,795.64,0,0,795.64,0,0,795.64,0,0,795.64,0,0,795.64,0,0,795.64
1,60-69,2021,61776,61776,61776,61776,61776,61776,61776,61776,61776,61776,61776,61776,61776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2181.05,0,0,2181.05,0,0,2181.05,0,0,2181.05,0,0,2181.05,0,0,2181.05,0,0,2181.05,0,0,2181.05,0,0,2181.05,0,0,2181.05,0,0,2181.05,0,0,2181.05
1,30-39,2020,141160,141160,141160,141160,141160,141160,141160,141160,141160,141160,141160,141160,141160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954.49,0,0,954.49,0,0,954.49,0,0,954.49,0,0,954.49,0,0,954.49,0,0,954.49,0,0,954.49,0,0,954.49,0,0,954.49,0,0,954.49,0,0,954.49
