sex,month,Ageband,Persontime,Persontime_covid_severity_1_plus,Persontime_covid_severity_2_plus,Persontime_covid_severity_3_plus,Persontime_covid_severity_4_plus,covid_severity_1_plus_b,covid_severity_2_plus_b,covid_severity_3_plus_b,covid_severity_4_plus_b
1,2020-09,12-17,2119,2119,2119,2119,2119,0,0,0,0
1,2020-09,5-11,2547,2547,2547,2547,2547,0,0,0,0
1,2020-10,0-4,930,930,930,930,930,0,0,0,0
1,2020-10,12-17,2125,2125,2125,2125,2125,0,0,0,0
1,2020-10,5-11,2580,2580,2580,2580,2580,0,0,0,0
1,2020-11,0-4,896,896,896,896,896,0,0,0,0
1,2020-11,12-17,2048,2048,2048,2048,2048,0,0,0,0
1,2020-11,5-11,2396,2396,2396,2396,2396,0,0,0,0
1,2020-12,0-4,833,833,833,833,833,0,0,0,0
1,2020-12,12-17,2072,2070,2071,2071,2072,< 5,< 5,< 5,0
1,2020-12,5-11,2499,2499,2499,2499,2499,0,0,0,0
1,2021-01,0-4,780,780,780,780,780,0,0,0,0
1,2021-01,12-17,2028,2028,2028,2028,2028,0,0,0,0
1,2021-01,5-11,2437,2437,2437,2437,2437,0,0,0,0
1,2021-02,0-4,672,672,672,672,672,0,0,0,0
1,2021-02,12-17,1830,1830,1830,1830,1830,0,0,0,0
1,2021-02,5-11,2156,2156,2156,2156,2156,0,0,0,0
1,2021-03,0-4,744,744,744,744,744,0,0,0,0
1,2021-03,12-17,1994,1994,1994,1994,1994,0,0,0,0
1,2021-03,5-11,2381,2381,2381,2381,2381,0,0,0,0
1,2021-04,0-4,713,713,713,713,713,0,0,0,0
1,2021-04,12-17,1930,1930,1930,1930,1930,0,0,0,0
1,2021-04,5-11,2280,2280,2280,2280,2280,0,0,0,0
1,2021-05,0-4,706,706,706,706,706,0,0,0,0
1,2021-05,12-17,1960,1960,1960,1960,1960,0,0,0,0
1,2021-05,5-11,2356,2356,2356,2356,2356,0,0,0,0
1,2021-06,0-4,660,660,660,660,660,0,0,0,0
1,2021-06,12-17,1783,1783,1783,1783,1783,0,0,0,0
1,2021-06,5-11,2244,2244,2244,2244,2244,0,0,0,0
