sex,ageband_at_1_jan_2021,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
0,5-11,2020-10,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-11,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-12,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,1841,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021-01,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021-02,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021-03,1736,1736,1736,1736,1736,1736,1736,1736,1736,1736,1736,1736,1736,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021-04,1674,1674,1674,1674,1674,1674,1674,1674,1674,1674,1674,1674,1674,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021-05,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021-06,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-01,2679,2679,2679,2679,2679,2679,2679,2679,2679,2679,2679,2679,2679,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-02,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-03,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-04,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-05,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-06,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-07,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-08,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-09,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-10,2615,2615,2615,2615,2615,2615,2615,2615,2615,2615,2615,2615,2615,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-11,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020-12,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2021-01,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2021-02,2212,2212,2212,2212,2212,2212,2212,2212,2212,2212,2212,2212,2212,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2021-03,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2021-04,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2021-05,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2021-06,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2020-01,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2020-02,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2020-03,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2020-04,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2020-05,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2020-06,1782,1782,1782,1782,1782,1782,1782,1782,1782,1782,1782,1782,1782,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2020-07,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2020-08,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2020-09,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2020-10,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2020-11,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2020-12,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2021-01,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2021-02,1343,1343,1343,1343,1343,1343,1343,1343,1343,1343,1343,1343,1343,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2021-03,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2021-04,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2021-05,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2021-06,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2020-01,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2020-02,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,2262,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2020-03,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,2363,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2020-04,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2020-05,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,2324,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2020-06,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2020-07,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2020-08,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2020-09,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2020-10,2128,2128,2128,2128,2128,2128,2128,2128,2128,2128,2128,2128,2128,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2020-11,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2020-12,2073,2073,2073,2073,2073,2073,2073,2073,2073,2073,2073,2073,2073,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2021-01,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2021-02,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,1774,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2021-03,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2021-04,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2021-05,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2021-06,1706,1706,1706,1706,1706,1706,1706,1706,1706,1706,1706,1706,1706,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-01,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-02,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862,0,0,0,0,0,0,0,0,0,0,0,0
